City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Ust-Tsilma,RU,65.441,52.1498,31.75,91,70,9.24,broken clouds
79,Mahajanga,MG,-15.7167,46.3167,75.22,83,20,2.3,few clouds
80,Pitimbu,BR,-7.4706,-34.8086,79.39,85,62,12.06,broken clouds
81,Arlit,NE,18.7369,7.3853,88.07,10,59,11.88,broken clouds
82,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.69,85,11,16.11,few clouds
83,Patti,IN,31.2808,74.8572,82.47,28,38,6.15,scattered clouds
84,Sungaipenuh,ID,-2.0833,101.3833,66.33,96,100,0.89,overcast clouds
85,Walvis Bay,NA,-22.9575,14.5053,76.15,38,2,2.3,clear sky
86,Gat,IL,31.61,34.7642,67.41,100,30,8.99,scattered clouds
87,Peniche,PT,39.3558,-9.3811,59.29,89,28,14.16,scattered clouds
88,Souillac,MU,-20.5167,57.5167,75.58,88,75,8.05,light intensity shower rain
89,Grand Gaube,MU,-20.0064,57.6608,75.6,81,10,5.01,clear sky
90,Hami,CN,42.8,93.45,73.54,13,63,1.45,broken clouds
91,Goianesia,BR,-15.3175,-49.1175,73.04,60,77,0.78,broken clouds
92,Coari,BR,-4.085,-63.1414,75.42,96,67,2.19,broken clouds
93,Chatakonda,IN,17.55,80.65,79.99,67,100,3.38,overcast clouds
94,Dakar,SN,14.6937,-17.4441,69.93,88,75,6.91,broken clouds
95,Ilulissat,GL,69.2167,-51.1,26.62,80,100,8.05,overcast clouds
96,Salalah,OM,17.0151,54.0924,84.29,84,0,5.75,clear sky
97,Secovce,SK,48.7007,21.661,54.79,89,37,6.53,light rain
98,Bambous Virieux,MU,-20.3428,57.7575,75.45,88,75,8.05,light intensity shower rain
99,Zarautz,ES,43.2844,-2.1699,59.74,82,97,5.86,overcast clouds
100,Rakiv Lis,UA,51.6217,24.9243,43.21,92,79,6.02,broken clouds
101,Oussouye,SN,12.485,-16.5469,71.78,74,90,9.48,overcast clouds
102,Pemba,MZ,-12.974,40.5178,74.1,94,20,10.36,few clouds
103,Luderitz,NA,-26.6481,15.1594,65.41,55,0,9.84,clear sky
104,Resistencia,AR,-27.4606,-58.9839,60.1,84,0,5.75,clear sky
105,Rocha,UY,-34.4833,-54.3333,51.69,87,33,0.31,scattered clouds
106,Mangrol,IN,21.1167,70.1167,80.76,83,0,8.41,clear sky
107,Dutse,NG,11.7594,9.3392,83.46,43,49,9.01,scattered clouds
108,Teeli,RU,51.0333,90.2333,47.53,55,74,1.66,broken clouds
109,Ponta Delgada,PT,37.7333,-25.6667,64.51,94,75,3.44,light intensity drizzle rain
110,Maunatlala,BW,-22.597,27.6301,57.56,62,0,1.88,clear sky
111,Ancud,CL,-41.8697,-73.8203,52.99,97,100,9.24,overcast clouds
112,Raga,SS,8.4596,25.678,74.26,82,100,3.31,overcast clouds
113,Nathdwara,IN,24.9333,73.8167,77.13,46,0,6.71,clear sky
114,Dhidhdhoo,MV,6.8833,73.1,85.42,67,94,11.77,overcast clouds
115,Koslan,RU,63.4564,48.8989,29.98,94,68,6.55,broken clouds
116,Dudinka,RU,69.4058,86.1778,15.62,95,100,7.49,light snow
117,Harlingen,US,26.1906,-97.6961,85.96,80,100,18.41,overcast clouds
118,Nouakchott,MR,18.0858,-15.9785,66.13,85,13,9.57,few clouds
119,Bemidji,US,47.4736,-94.8803,58.05,38,0,3.44,clear sky
120,Codrington,AU,-38.2667,141.9667,54.12,72,96,11.45,overcast clouds
121,Camacha,PT,33.0833,-16.3333,58.42,67,20,10.36,few clouds
122,Mbandaka,CD,0.0487,18.2603,71.46,95,37,3.91,scattered clouds
123,Trelew,AR,-43.249,-65.3051,63.01,41,100,13.6,overcast clouds
124,Xai-Xai,MZ,-25.0519,33.6442,66.27,86,0,2.8,clear sky
125,Santa Maria,BR,-29.6842,-53.8069,58.3,94,100,10.36,overcast clouds
126,Qaqortoq,GL,60.7167,-46.0333,32.77,77,87,4.29,overcast clouds
127,Beloha,MG,-25.1667,45.05,66.54,82,0,11.68,clear sky
128,Mahibadhoo,MV,3.7833,72.9667,81.19,80,100,19.04,moderate rain
129,Vardo,NO,70.3705,31.1107,25.81,82,79,14.16,light snow
130,Bloomingdale,US,27.8936,-82.2404,86.31,80,40,20.71,light rain
131,Berbera,SO,10.4396,45.0143,85.03,74,2,2.75,clear sky
132,Iqaluit,CA,63.7506,-68.5145,15.53,78,20,13.8,few clouds
133,Saint-Philippe,RE,-21.3585,55.7679,70.21,85,47,11.92,light rain
134,Cayenne,GF,4.9333,-52.3333,80.1,1,75,3.44,light rain
135,Kamenka,RU,51.3223,42.7678,44.4,64,15,9.26,few clouds
136,Sioux Lookout,CA,50.1001,-91.917,44.67,45,20,5.75,few clouds
137,Cerrik,AL,41.0317,19.9758,49.55,93,37,2.13,scattered clouds
138,Severo-Yeniseyskiy,RU,60.3725,93.0408,26.87,94,85,7.85,light snow
139,Santarem,BR,-2.4431,-54.7083,77.13,100,40,3.44,scattered clouds
140,Tucupita,VE,9.0622,-62.051,79.05,73,98,6.38,overcast clouds
141,Port Elizabeth,ZA,-33.918,25.5701,64.69,94,0,9.22,clear sky
142,Pisco,PE,-13.7,-76.2167,68.05,73,0,13.8,clear sky
143,Umea,SE,63.8284,20.2597,28.33,74,0,6.91,clear sky
144,Namibe,AO,-15.1961,12.1522,76.32,68,68,1.79,broken clouds
145,Faya,SA,18.3851,42.4509,64.51,49,12,5.14,few clouds
146,Ithaca,US,42.4406,-76.4966,68.29,58,40,10.36,scattered clouds
147,Kribi,CM,2.95,9.9167,79.14,87,97,4.61,light rain
148,Progreso,MX,21.2833,-89.6667,98.71,79,3,19.13,clear sky
149,Najran,SA,17.4924,44.1277,75.85,19,51,2.26,broken clouds
150,Sabha,LY,27.0377,14.4283,69.53,23,3,11.36,clear sky
151,Abramovka,RU,51.1886,41.0202,47.43,61,36,10.27,scattered clouds
152,Fomboni,KM,-12.28,43.7425,81.59,77,14,13.11,light rain
153,Antigonish,CA,45.6169,-61.9986,40.82,80,32,2.75,scattered clouds
154,Umm Kaddadah,SD,13.6017,26.6876,77.52,61,59,8.61,broken clouds
155,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.82,86,22,8.55,few clouds
156,Cabedelo,BR,-6.9811,-34.8339,79.47,84,56,13.0,broken clouds
157,Havre-Saint-Pierre,CA,50.2334,-63.5986,41.36,75,0,5.75,clear sky
158,Richards Bay,ZA,-28.783,32.0377,64.44,92,1,7.25,clear sky
159,Pokhara,NP,28.2333,83.9833,68.36,77,99,1.92,overcast clouds
160,Lasa,IT,46.6166,10.7002,46.36,94,99,1.57,overcast clouds
161,Samana,DO,19.2056,-69.3369,80.56,89,12,10.11,few clouds
162,Eseka,CM,3.65,10.7667,72.84,99,94,1.21,overcast clouds
163,Aswan,EG,24.0934,32.907,87.1,20,0,14.97,clear sky
164,Ippy,CF,6.2679,21.2247,71.26,85,92,2.04,overcast clouds
165,Castro,BR,-24.7911,-50.0119,61.77,97,100,8.88,light rain
166,Clyde River,CA,70.4692,-68.5914,12.43,73,20,9.22,few clouds
167,Kavaratti,IN,10.5669,72.642,84.61,70,86,7.67,overcast clouds
168,Tombouctou,ML,20.0,-3.0,81.59,13,78,4.07,broken clouds
169,Raudeberg,NO,61.9875,5.1352,41.67,78,94,6.87,overcast clouds
170,Ostersund,SE,63.1792,14.6357,29.61,80,9,10.36,clear sky
171,Port-Cartier,CA,50.0334,-66.8654,44.82,92,29,5.1,scattered clouds
172,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,78,100,3.94,overcast clouds
173,Margate,GB,51.3813,1.3862,50.31,80,41,1.01,scattered clouds
174,Mashhad,IR,36.297,59.6062,59.14,88,75,6.91,broken clouds
175,Fort Frances,CA,48.5999,-93.4003,53.17,50,0,5.75,clear sky
176,Altay,CN,47.8667,88.1167,51.22,79,25,2.35,scattered clouds
177,Sambava,MG,-14.2667,50.1667,74.03,88,13,11.52,light rain
178,Berlevag,NO,70.8578,29.0864,24.6,71,100,24.18,light snow
179,Matara,LK,5.9485,80.5353,79.16,89,89,7.49,overcast clouds
180,Areosa,PT,41.7178,-8.8571,55.45,82,7,9.15,clear sky
181,Maceio,BR,-9.6658,-35.7353,78.24,94,40,2.3,scattered clouds
182,Jinka,ET,5.65,36.65,61.9,92,99,3.6,overcast clouds
183,Przhevalskoye,RU,55.5093,31.8482,33.01,77,9,7.49,clear sky
184,Thompson,CA,55.7435,-97.8558,33.96,51,20,6.91,few clouds
185,Maragogi,BR,-9.0122,-35.2225,78.01,88,24,7.74,light rain
186,Sinnamary,GF,5.3833,-52.95,75.49,95,100,8.66,overcast clouds
187,Georgiyevka,KZ,43.0369,74.7114,59.04,94,75,6.71,broken clouds
188,Sur,OM,22.5667,59.5289,82.56,42,0,0.92,clear sky
189,Road Town,VG,18.4167,-64.6167,78.89,83,40,9.22,scattered clouds
190,Dunn,US,44.95,-91.8835,58.98,43,17,11.5,few clouds
191,Kankon,IN,15.0167,74.0167,81.3,83,62,6.89,broken clouds
192,Bathsheba,BB,13.2167,-59.5167,79.41,89,20,16.11,few clouds
193,Saint-Georges,GD,12.0564,-61.7485,80.28,83,40,23.02,scattered clouds
194,Beterou,BJ,9.1992,2.2586,77.77,76,98,5.17,overcast clouds
195,Touros,BR,-5.1989,-35.4608,78.62,87,34,12.33,scattered clouds
196,Moron,AR,-34.6534,-58.6198,56.95,80,0,2.68,clear sky
197,Antofagasta,CL,-23.65,-70.4,60.08,85,36,1.79,scattered clouds
198,Yarim,YE,14.298,44.3779,58.69,64,16,1.83,few clouds
199,Druzhba,UA,52.0428,33.9453,47.82,91,91,6.4,light rain
200,Thinadhoo,MV,0.5333,72.9333,79.9,86,100,19.35,overcast clouds
201,Pangnirtung,CA,66.1451,-65.7125,9.25,100,99,1.7,overcast clouds
202,Kpandu,GH,6.9954,0.2931,77.58,87,62,6.69,broken clouds
203,Meulaboh,ID,4.1363,96.1285,75.29,94,100,9.78,overcast clouds
204,Albany,US,42.6001,-73.9662,59.88,68,100,1.01,overcast clouds
205,Marzuq,YE,14.4,46.4667,74.5,37,2,5.61,clear sky
206,Koroni,GR,36.8,21.95,60.08,81,21,9.4,few clouds
207,Ostrovnoy,RU,68.0531,39.5131,24.62,70,100,12.3,overcast clouds
208,Salvador,SV,13.8333,-88.9167,82.8,78,86,1.99,overcast clouds
209,Sabang,ID,5.8933,95.3214,81.43,78,100,21.59,overcast clouds
210,Moroto,UG,2.5345,34.6666,65.71,87,100,2.17,light rain
211,Imeni Babushkina,RU,59.7573,43.1285,32.77,89,68,6.24,broken clouds
212,Grindavik,IS,63.8424,-22.4338,37.35,80,75,17.27,broken clouds
213,Cap Malheureux,MU,-19.9842,57.6142,74.46,81,9,5.01,clear sky
214,Daura,NG,11.5538,11.4085,86.27,40,61,5.86,broken clouds
215,Aksu,CN,41.1231,80.2644,65.97,20,10,2.48,clear sky
216,Ambovombe,MG,-25.1667,46.0833,67.15,78,1,11.12,clear sky
217,San Carlos De Bariloche,AR,-41.1456,-71.3082,51.55,71,40,18.41,scattered clouds
218,Monrovia,LR,6.3005,-10.7969,81.07,81,16,7.76,few clouds
219,Barcelos,PT,41.5388,-8.6151,64.85,79,18,5.39,few clouds
220,Orocue,CO,4.7912,-71.3354,84.69,58,64,2.77,broken clouds
221,Lujan,AR,-34.5703,-59.105,52.95,85,0,3.71,clear sky
222,Maroantsetra,MG,-15.4333,49.7333,75.09,85,53,7.34,light rain
223,Ilinskiy,RU,55.619,38.1182,48.54,71,40,7.0,scattered clouds
224,Udagamandalam,IN,11.4,76.7,56.03,81,100,1.86,overcast clouds
225,Nesterov,RU,54.6306,22.5714,32.2,68,2,4.79,clear sky
226,Acarau,BR,-2.8856,-40.12,78.69,89,77,11.3,broken clouds
227,Jalu,LY,29.0331,21.5482,62.69,49,1,9.04,clear sky
228,Kendal,GB,54.3268,-2.7476,53.11,91,100,4.16,overcast clouds
229,Salinopolis,BR,-0.6136,-47.3561,77.85,89,100,8.57,light rain
230,Sitrah,BH,26.1547,50.6206,82.4,50,0,5.75,clear sky
231,San-Pedro,CI,4.7485,-6.6363,80.29,82,28,6.08,scattered clouds
232,Itarema,BR,-2.9248,-39.9167,78.17,90,68,9.95,broken clouds
233,Aljezur,PT,37.3191,-8.8033,57.69,77,34,6.64,scattered clouds
234,Alta,NO,69.9689,23.2717,26.19,87,75,8.05,broken clouds
235,Boden,SE,65.8252,21.6886,26.6,79,82,2.39,broken clouds
236,Kaoma,ZM,-14.7833,24.8,59.45,76,74,5.84,broken clouds
237,Lamu,KE,-2.2717,40.902,79.07,84,100,18.54,moderate rain
238,San,ML,13.3034,-4.8956,93.11,15,73,5.12,broken clouds
