City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Arraial Do Cabo,BR,2022-04-28 02:59:04,-22.9661,-42.0278,75.58,86,0,21.72
68,Punta Arenas,CL,2022-04-28 02:59:05,-53.15,-70.9167,33.91,60,20,13.8
69,Souillac,MU,2022-04-28 02:59:05,-20.5167,57.5167,70.18,94,20,5.75
70,Mahebourg,MU,2022-04-28 02:59:05,-20.4081,57.7,72.25,94,20,5.75
71,Quatre Cocos,MU,2022-04-28 02:59:06,-20.2078,57.7625,72.09,80,1,2.84
72,Mandalgovi,MN,2022-04-28 02:59:06,45.7625,106.2708,49.44,17,69,10.65
73,Kemijarvi,FI,2022-04-28 02:59:07,66.7131,27.4306,25.56,78,94,6.53
74,Tiksi,RU,2022-04-28 02:59:07,71.6872,128.8694,10.67,87,84,1.77
75,Xining,CN,2022-04-28 02:55:16,36.6167,101.7667,48.51,49,45,2.84
76,Inuvik,CA,2022-04-28 02:59:08,68.3499,-133.7218,12.96,72,20,6.91
77,Beloha,MG,2022-04-28 02:59:08,-25.1667,45.05,63.64,86,49,5.95
78,Touros,BR,2022-04-28 02:59:09,-5.1989,-35.4608,77.76,86,49,9.89
79,Laguna,US,2022-04-28 02:59:09,38.421,-121.4238,67.32,47,75,5.01
80,Thompson,CA,2022-04-28 02:59:10,55.7435,-97.8558,39.36,30,40,5.75
81,Dondo,MZ,2022-04-28 02:59:10,-19.6094,34.7431,72.91,88,56,7.34
82,New Norfolk,AU,2022-04-28 02:59:10,-42.7826,147.0587,69.66,81,60,3.0
83,Dunedin,NZ,2022-04-28 02:57:41,-45.8742,170.5036,59.81,53,61,1.99
84,Valparaiso,CL,2022-04-28 02:58:45,-33.0393,-71.6273,57.47,68,0,2.3
85,Isangel,VU,2022-04-28 02:59:11,-19.55,169.2667,78.89,75,100,16.46
86,Omsukchan,RU,2022-04-28 02:59:12,62.5333,155.8,25.5,89,100,10.13
87,Yambio,SS,2022-04-28 02:59:12,4.5721,28.3955,67.24,97,100,3.69
88,Sayansk,RU,2022-04-28 02:59:12,54.1088,102.1648,41.77,40,5,5.08
